Positive,Negative,Neutral,adj_price,close_price
0.078,0.12,0.801,12141.580078,12141.580078
0.056,0.111,0.834,12307.349609,12307.349609
0.107,0.208,0.685,12294.593098666668,12294.593098666668
0.073,0.116,0.81,12281.836588333335,12281.836588333335
0.087,0.123,0.791,12269.080078,12269.080078
0.09,0.148,0.762,12160.299805,12160.299805
0.089,0.094,0.816,12029.05957,12029.05957
0.071,0.115,0.814,12063.089844,12063.089844
0.107,0.161,0.732,11842.69043,11842.69043
0.087,0.104,0.809,11842.580404,11842.580404
0.088,0.14,0.772,11842.470378,11842.470378
0.102,0.096,0.802,11842.360352,11842.360352
0.113,0.162,0.725,11807.429688,11807.429688
0.083,0.114,0.803,11811.830078,11811.830078
0.094,0.148,0.758,11453.419922,11453.419922
0.081,0.093,0.826,11346.509766,11346.509766
0.092,0.12,0.788,11347.676432666665,11347.676432666665
0.055,0.167,0.778,11348.843099333333,11348.843099333333
0.077,0.121,0.802,11350.009766,11350.009766
0.104,0.139,0.757,11382.259766,11382.259766
0.08,0.094,0.826,11215.509766,11215.509766
0.111,0.117,0.772,11288.540039,11288.540039
0.09,0.149,0.761,11274.3950195,11274.3950195
0.103,0.133,0.764,11260.25,11260.25
